status,id,title,upstream_downstream,format,local_path,source,attribution,license
local,hysogs250m,HYSOGs250m global hydrologic soil groups,upstream,tif,soils/hysogs250m.tif,https://www.earthdata.nasa.gov/data/catalog/ornl-cloud-global-hydrologic-soil-group-1566-1,Ross et al. 2018,Open
local,dem_glo30,"Copernicus GLO-30 DSM, Lower Mainland clip (EPSG:3005)",upstream,tif,topography/LowerMainland_DSM_3005.tif,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_DEM_GLO30,ESA / Copernicus / DLR,Copernicus Open License (free re-use with attribution)
local,prism_pcic,PCIC PRISM monthly precipitation grids (BC),upstream,nc,precip/prism_monthly.nc,https://services.pacificclimate.org/pdp-next/portal/?portal=prism,Pacific Climate Impacts Consortium,Public
local,prism_us,"PRISM 30-year monthly precipitation normals 1991-2020 (CONUS, 800 m)",upstream,tif,precip/prism_us_monthly.tif,ftp://prism.oregonstate.edu/normals/us/800m/ppt/monthly/,PRISM Climate Group Oregon State University,Public
local,rdpa_ar2021,Regional Deterministic Precipitation Analysis (RDPA/CaPA) Nov 13-16 2021 atmospheric river storm total (EPSG:3005),upstream,tif,precip/RDPA_AR2021_Nov13_16_StormTotal_3005.tif,https://open.canada.ca/data/en/dataset/fdd3446a-dc20-5bad-9755-0855e3ec9b19,Environment and Climate Change Canada (RDPA v2.0; CaPA system),Open Government Licence - Canada
local,nalcms_2020,"North American Land Cover, 2020 (Landsat, 30m)",both,tif,landcover/nalcms_2020_30m.tif,https://www.cec.org/north-american-environmental-atlas/land-cover-30m-2020/,The Commission for Environmental Cooperation (CEC),Open
local,aafc_aci,AAFC Annual Crop Inventory 2024 raster,both,tif,landcover/aafc_aci_30m.tif,https://agriculture.canada.ca/atlas/data_donnees/annualCropInventory/data_donnees/tif/2024/,Agriculture and Agri-Food Canada,Open Government Licence - Canada
live,fwa_assessment_watersheds,BC Freshwater Atlas Assessment Watersheds,both,wfs,WHSE_BASEMAPPING.FWA_ASSESSMENT_WATERSHEDS_POLY,https://catalogue.data.gov.bc.ca/dataset/freshwater-atlas-assessment-watersheds,Province of British Columbia (GeoBC),Open Government Licence - British Columbia
local,fwa_stream_networks,BC Freshwater Atlas Stream Networks,both,gdb,hydrology/FWA_STREAM_NETWORKS_SP.gdb,https://catalogue.data.gov.bc.ca/dataset/freshwater-atlas-stream-network,Province of British Columbia (GeoBC),Open Government Licence - British Columbia
live,wbd_huc12,USGS Watershed Boundary Dataset HUC12 subwatersheds,both,web,nhdplusTools::get_huc(type='huc12'),https://www.usgs.gov/national-hydrography/watershed-boundary-dataset,U.S. Geological Survey,Public domain (U.S. Government work)
live,nhdplus_flowlines,USGS NHDPlus flowlines,both,web,nhdplusTools::get_nhdplus(realization='flowline'),https://www.usgs.gov/national-hydrography/national-hydrography-dataset,U.S. Geological Survey,Public domain (U.S. Government work)
local,nhc_floodplain_1894,"NHC Lower Fraser River 2D flood model, 1894 flood-of-record freshet extent",downstream,shp,floodplains/Freshet 1894 event/Base_Freshet_1894_Extent.shp,See technical report in data/raw/floodplains/ (NHC 2019 report 3003429 for Fraser Basin Council),Northwest Hydraulic Consultants (2019) for Fraser Basin Council,See provider terms
local,nhc_floodplain_1aep,"NHC Lower Fraser River 2D flood model, Freshet Historic 1% AEP extent",downstream,shp,floodplains/Freshet Historic 1% AEP/Base_Freshet_Historic_1AEP_Extent.shp,See technical report in data/raw/floodplains/ (NHC 2019 report 3003429 for Fraser Basin Council),Northwest Hydraulic Consultants (2019) for Fraser Basin Council,See provider terms
local,nhc_floodplain_pt5aep,"NHC Lower Fraser River 2D flood model, Freshet Historic 0.5% AEP extent",downstream,shp,floodplains/Freshet Historic 0.5% AEP/Base_Freshet_Historic_pt5AEP_Extent.shp,See technical report in data/raw/floodplains/ (NHC 2019 report 3003429 for Fraser Basin Council),Northwest Hydraulic Consultants (2019) for Fraser Basin Council,See provider terms
local,nhc_floodplain_cc2050,"NHC Lower Fraser River 2D flood model, Climate Change 2050 1% AEP extent with 0.5 m sea level rise",downstream,shp,floodplains/Climate Change 2050 1% AEP 0.5m SLR/Base_Freshet_CC2050_1AEP_pt5mSLR_Extent.shp,See technical report in data/raw/floodplains/ (NHC 2019 report 3003429 for Fraser Basin Council),Northwest Hydraulic Consultants (2019) for Fraser Basin Council,See provider terms
local,nhc_floodplain_cc2100,"NHC Lower Fraser River 2D flood model, Climate Change 2100 1% AEP extent with 1.0 m sea level rise",downstream,shp,floodplains/Climate Change 2100 1% AEP 1m SLR/Base_Freshet_CC2100_1AEP_1mSLR_Extent.shp,See technical report in data/raw/floodplains/ (NHC 2019 report 3003429 for Fraser Basin Council),Northwest Hydraulic Consultants (2019) for Fraser Basin Council,See provider terms
local,da_boundary_2021,2021 Census Dissemination Areas cartographic boundary file,downstream,shp,population/lda_000b21a_e.shp,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/files-fichiers/lda_000b21a_e.zip,Statistics Canada,Statistics Canada Open Licence
local,da_population_2021,2021 Census Geographic Attribute File (dissemination-block population),downstream,csv,population/2021_92-151_X.csv,https://www12.statcan.gc.ca/census-recensement/2021/geo/aip-pia/attribute-attribs/files-fichiers/2021_92-151_X.zip,Statistics Canada,Statistics Canada Open Licence
future,bc_k12_schools,BC Schools - K-12 with Francophone Indicators,downstream,csv,downstream/bc_k12_schools_2026_databc.csv,https://open.canada.ca/data/en/dataset/95da1091-7e8c-4aa6-9c1b-5ab159ea7b42,Province of British Columbia (DataBC),Open Government Licence - British Columbia
future,hlbc_hospitals,Hospitals in BC,downstream,csv,downstream/hlbc_hospitals.csv,https://catalogue.data.gov.bc.ca/dataset/hospitals-in-bc,HealthLink BC,Open Government Licence - British Columbia
local,alr_polygons,Agricultural Land Reserve (ALR) polygons,downstream,shp,boundaries/ALR_Polygons/ALR_Polygons.shp,https://www.alc.gov.bc.ca/alr-maps/,Provincial Agricultural Land Commission (ALC),Open Government Licence - British Columbia
local,rnin_patch,Metro Vancouver Regional Natural Infrastructure Network (RNIN) Patch polygons,downstream,shp,boundaries/RNIN_Patch/Regional_Natural_Infrastructure_Network_(RNIN)_–_Patch.shp,https://open-data-portal-metrovancouver.hub.arcgis.com/maps/51e43e047dfb46ada45d06c474a2acbb,Metro Vancouver (Regional Planning and Housing Services; Diamond Head Consulting),Open Government Licence - Metro Vancouver
local,rnin_corridor,Metro Vancouver Regional Natural Infrastructure Network (RNIN) Corridor lines,downstream,shp,boundaries/RNIN_Corridor/Regional_Natural_Infrastructure_Network_(RNIN)_–_Corridor.shp,https://open-data-portal-metrovancouver.hub.arcgis.com/datasets/efc53571a9eb4eccab079642ed1b97c1_6,Metro Vancouver (Regional Planning and Housing Services; Diamond Head Consulting),Open Government Licence - Metro Vancouver
